Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Volume, Ask Volume, VWMA, Diff, Avg, Inertia, CC, Line1, Line2, Line3
2021/1/12, 12:18:25.537, 2118.7, 2118.7, 2117.7, 2117.7, 398, 145, 2118.2, 2118.1, 2118.3, 86, 312, 2117.3, 0.433, 2.3, 0.296, 0.260, 0.000, 3.000, -3.000
2021/1/12, 12:19:26.823, 2117.7, 2117.7, 2116.7, 2116.7, 549, 311, 2117.4, 2117.3, 2117.6, 182, 367, 2117.4, -0.689, 1.6, 0.272, 0.260, 0.000, 3.000, -3.000
2021/1/12, 12:21:47.126, 2116.7, 2116.7, 2115.7, 2115.8, 162, 151, 2116.3, 2116.1, 2116.3, 100, 62, 2117.7, -1.910, 1.0, 0.202, 0.260, 0.000, 3.000, -3.000
2021/1/12, 12:22:19.70, 2115.8, 2117.7, 2116.7, 2117.6, 271, 253, 2116.6, 2116.9, 2116.6, 126, 145, 2117.8, -0.167, 0.5, 0.110, 0.259, 0.000, 3.000, -3.000
2021/1/12, 12:24:10.393, 2117.6, 2118.7, 2117.7, 2118.7, 119, 114, 2118.1, 2118.3, 2118.1, 65, 54, 2117.9, 0.806, -0.0, 0.034, 0.257, 0.000, 3.000, -3.000
2021/1/12, 12:25:15.432, 2118.7, 2119.7, 2118.7, 2119.7, 639, 609, 2118.9, 2119.0, 2118.7, 294, 345, 2118.1, 1.588, 0.0, -0.004, 0.252, 0.000, 3.000, -3.000
2021/1/12, 12:30:26.525, 2119.7, 2118.7, 2117.7, 2118.7, 1160, 1079, 2119.2, 2119.0, 2119.1, 563, 597, 2118.2, 0.451, 0.0, -0.005, 0.246, 0.000, 3.000, -3.000
2021/1/12, 12:39:00.150, 2118.7, 2119.7, 2118.7, 2119.7, 33, 33, 2119.2, 2119.4, 2119.2, 17, 16, 2118.6, 1.052, 0.3, 0.006, 0.239, 0.000, 3.000, -3.000
2021/1/12, 12:39:15.552, 2119.7, 2120.7, 2119.7, 2120.7, 136, 129, 2120.1, 2120.3, 2120.0, 47, 89, 2118.7, 1.960, 0.9, 0.025, 0.231, 0.000, 3.000, -3.000
2021/1/12, 12:40:42.974, 2120.7, 2119.7, 2118.7, 2118.7, 293, 278, 2119.8, 2119.5, 2119.9, 157, 136, 2118.7, -0.039, 1.0, 0.043, 0.223, 0.000, 3.000, -3.000
2021/1/12, 12:41:40.117, 2118.7, 2118.7, 2117.7, 2117.7, 497, 463, 2118.6, 2118.6, 2119.0, 250, 247, 2118.5, -0.826, 0.7, 0.035, 0.216, 0.000, 3.000, -3.000
2021/1/12, 12:43:48.129, 2117.7, 2117.7, 2116.7, 2117.7, 150, 148, 2117.6, 2117.5, 2117.4, 94, 56, 2118.6, -0.875, 0.3, -0.005, 0.205, 0.000, 3.000, -3.000
2021/1/12, 12:44:25.261, 2117.7, 2118.7, 2117.7, 2118.7, 516, 478, 2117.7, 2117.7, 2117.3, 271, 245, 2118.4, 0.280, 0.3, -0.046, 0.190, 0.000, 3.000, -3.000
2021/1/12, 12:47:37.807, 2118.7, 2119.7, 2118.7, 2119.6, 135, 131, 2119.0, 2119.2, 2118.9, 71, 64, 2118.4, 1.245, 0.3, -0.046, 0.170, 0.000, 3.000, -3.000
2021/1/12, 12:48:36.492, 2119.6, 2120.7, 2119.7, 2120.7, 100, 82, 2120.1, 2120.3, 2120.1, 16, 84, 2118.4, 2.319, 0.4, 0.001, 0.144, 0.000, 3.000, -3.000
2021/1/12, 12:48:50.396, 2120.7, 2119.7, 2118.7, 2118.7, 756, 733, 2119.9, 2119.7, 2120.1, 382, 374, 2118.5, 0.226, 0.4, 0.060, 0.113, 0.000, 3.000, -3.000
2021/1/12, 12:52:15.25, 2118.7, 2120.7, 2119.7, 2120.5, 486, 412, 2119.4, 2119.7, 2119.3, 258, 228, 2118.8, 1.667, 0.8, 0.104, 0.082, 0.000, 3.000, -3.000
2021/1/12, 12:55:44.774, 2120.5, 2121.7, 2120.7, 2121.7, 160, 156, 2121.1, 2121.3, 2121.1, 64, 96, 2119.0, 2.693, 1.4, 0.128, 0.054, 0.000, 3.000, -3.000
2021/1/12, 12:56:12.622, 2121.7, 2120.7, 2119.7, 2119.7, 1567, 1507, 2120.9, 2120.7, 2121.1, 715, 852, 2119.2, 0.475, 1.4, 0.131, 0.028, 0.000, 3.000, -3.000
